"용어","영문명","대분류","소분류","한줄정의","예시","수식","팁","강의주차"
"수익률","Return","퀀트·금융","수익·성과","내 돈이 얼마나 늘었나(또는 줄었나)를 %로 표현한 것","5000원 → 6000원이면 수익률 = (6000-5000)/5000×100 = +20%","수익률 = (나중 가격 - 처음 가격) / 처음 가격 × 100","로그수익률 = log(나중/처음). 수학적으로 더 다루기 편해 퀀트에서 주로 사용",""
"누적수익률","Cumulative Return","퀀트·금융","수익·성과","처음 투자 시점부터 지금까지 총 얼마나 벌었는지","1월 +10% → 100만원이 110만원 / 2월 +10% → 110만원이 121만원 → 누적 +21%","누적수익률 = (최종 자산 / 처음 자산) - 1","단순 합산(20%)이 아닌 복리 계산(21%). 차이가 장기 투자일수록 커짐",""
"연환산 수익률","CAGR (Annualized Return)","퀀트·금융","수익·성과","N년치 수익을 매년 몇 %씩 번 것과 같은가로 1년 기준 환산","3년 누적 +33.1% → 연환산 약 +10% (매년 10%씩 복리 3년 = 1.1³ = 1.331)","CAGR = (최종/처음)^(1/년수) - 1","S&P500 CAGR 역사적으로 약 8~10%. 이보다 높으면 시장을 이긴 전략",""
"초과수익률","Excess Return","퀀트·금융","수익·성과","시장 평균보다 얼마나 더(또는 덜) 벌었는지","내 전략 +15%, S&P500 +10% → 초과수익률 = +5%","초과수익률 = 전략 수익률 - 벤치마크 수익률","벤치마크를 뭘로 잡느냐가 중요. 보통 S&P500 또는 무위험수익률",""
"알파","Alpha (α)","퀀트·금융","수익·성과","시장 움직임 영향을 제거한 후 순수하게 전략 자체 실력으로 번 수익","시장이 0% 움직였는데 내 전략이 +5% 벌었다면 알파 = +5%","실제수익률 = α + β × 시장수익률 + 오차","퀀트의 궁극적 목표는 양의 알파(α > 0)를 안정적으로 만드는 것",""
"베타","Beta (β)","퀀트·금융","수익·성과","시장이 1% 움직일 때 내 자산이 몇 % 움직이는지. 시장 민감도","β=2이면 시장 +1%일 때 나는 +2%, 시장 -1%일 때 나는 -2%","β = Cov(자산, 시장) / Var(시장)","β>1 = 시장보다 과격 / β<1 = 시장보다 안정적 / β=0 = 시장과 무관",""
"샤프 비율","Sharpe Ratio","퀀트·금융","수익·성과","위험 한 단위당 얼마나 벌었나. 수익률을 변동성으로 나눈 것. 높을수록 좋음","연수익 10%, 연변동성 10% → 샤프 = 1.0 / 연수익 10%, 연변동성 20% → 샤프 = 0.5","Sharpe = (전략수익률 - 무위험수익률) / 변동성","샤프 1.0 이상이면 양호. 2.0 이상이면 매우 좋은 전략으로 평가",""
"소르티노 비율","Sortino Ratio","퀀트·금융","수익·성과","샤프 비율과 비슷하지만 하락 변동성만 위험으로 계산. 오를 때는 위험 아님","오를 때 변동 크고 내릴 때 안정적인 전략 → 소르티노가 샤프보다 더 높게 나옴","Sortino = (전략수익률 - 무위험수익률) / 하락변동성","하락 리스크만 신경 쓰는 투자자에게 더 적합한 지표",""
"트레이너 비율","Treynor Ratio","퀀트·금융","수익·성과","수익을 변동성 대신 베타(시장 위험)로 나눈 성과 지표","연수익 10%, β=0.5 → 트레이너 = 0.2","Treynor = (전략수익률 - 무위험수익률) / β","여러 펀드를 비교할 때 유용. 분산투자된 포트폴리오 평가에 적합",""
"정보비율","Information Ratio","퀀트·금융","수익·성과","벤치마크 대비 얼마나 안정적으로 초과수익을 냈는가","초과수익률 평균 2%, 초과수익률 표준편차 4% → IR = 0.5","IR = 평균초과수익률 / 추적오차(Tracking Error)","IR 0.5 이상이면 안정적인 알파 생성 전략으로 평가",""
"승률","Win Rate","퀀트·금융","수익·성과","전체 거래 중 수익이 난 거래의 비율","100번 거래, 60번 수익 → 승률 = 60%","승률 = 수익 거래 수 / 전체 거래 수 × 100","승률과 손익비를 함께 봐야 함. 승률 40%여도 손익비 3:1이면 기대수익이 양수",""
